NetID,Latitude_final,Longitude_final,GEBCO_old_m,depth_JEGG500_IDW_m,JEGG_quality
1,32.793914,132.628975,30.0,40.0,A
2,32.802579,132.633563,41.0,56.0,C
3,32.812774,132.642032,44.0,54.7,A
4,32.784353,132.703013,45.0,40.3,B
5,32.756666,132.822107,18.0,42.9,B
6,32.797259,132.991236,25.0,26.3,A
7,32.795055,132.985821,18.0,21.9,B
8,32.734923,133.029438,49.0,42.8,A
9,33.159542,133.224963,34.0,42.0,A
10,33.357650,133.337593,19.0,6.1,A
11,32.770520,133.019357,28.0,47.4,B
12,33.400017,134.011099,26.0,23.7,A
13,33.360612,134.043999,23.0,17.1,A
14,33.311308,134.201197,30.0,35.8,A
15,33.269809,134.202371,47.0,56.9,A
16,33.302961,134.204049,60.0,83.4,A
17,33.428671,134.243505,45.0,50.7,A
18,33.455525,134.256103,44.0,49.3,A
19,33.456354,134.256776,40.0,49.8,A
20,33.593837,134.379416,33.0,36.1,A
